,,,,,,,,,
,Números,Quantidade,Diferença entre,Último,Penúltimo,Diferença,Diferença para,,
,,de números,as quantidades, número,número,,24000,,
,1,24000,,24000,23999,1,0,,1
,2,12000,12000,24000,23998,2,0,0,2
,3,8000,4000,24000,23997,3,0,0,3
,4,6000,2000,24000,23996,4,0,0,4
,5,4800,1200,24000,23995,5,0,0,5
,6,4000,800,24000,23994,6,0,0,6
,7,3428,572,23996,23989,7,4,-4,10
,8,3000,428,24000,23992,8,0,4,12
,9,2666,334,23994,23985,9,6,-6,15
,10,2400,266,24000,23990,10,0,6,16
,11,2181,219,23991,23980,11,9,-9,20
,12,2000,181,24000,23988,12,0,9,24
,13,1846,154,23998,23985,13,2,-2,25
,14,1714,132,23996,23982,14,4,-2,30
,15,1600,114,24000,23985,15,0,4,32
,16,1500,100,24000,23984,16,0,0,40
,17,1411,89,23987,23970,17,13,-13,48
,18,1333,78,23994,23976,18,6,7,50
,19,1263,70,23997,23978,19,3,3,60
,20,1200,63,24000,23980,20,0,3,64
,21,1142,58,23982,23961,21,18,-18,75
,22,1090,52,23980,23958,22,20,-2,80
,23,1043,47,23989,23966,23,11,9,96
,24,1000,43,24000,23976,24,0,11,100
,25,960,40,24000,23975,25,0,0,
,26,923,37,23998,23972,26,2,-2,
,27,888,35,23976,23949,27,24,-22,
,28,857,31,23996,23968,28,4,20,
,29,827,30,23983,23954,29,17,-13,
,30,800,27,24000,23970,30,0,17,
,31,774,26,23994,23963,31,6,-6,
,32,750,24,24000,23968,32,0,6,
,33,727,23,23991,23958,33,9,-9,
,34,705,22,23970,23936,34,30,-21,
,35,685,20,23975,23940,35,25,5,
,36,666,19,23976,23940,36,24,1,
,37,648,18,23976,23939,37,24,0,
,38,631,17,23978,23940,38,22,2,
,39,615,16,23985,23946,39,15,7,
,40,600,15,24000,23960,40,0,15,
,41,585,15,23985,23944,41,15,-15,
,42,571,14,23982,23940,42,18,-3,
,43,558,13,23994,23951,43,6,12,
,44,545,13,23980,23936,44,20,-14,
,45,533,12,23985,23940,45,15,5,
,46,521,12,23966,23920,46,34,-19,
,47,510,11,23970,23923,47,30,4,
,48,500,10,24000,23952,48,0,30,
,49,489,11,23961,23912,49,39,-39,
,50,480,9,24000,23950,50,0,39,
,51,470,10,23970,23919,51,30,-30,
,52,461,9,23972,23920,52,28,2,
,53,452,9,23956,23903,53,44,-16,
,54,444,8,23976,23922,54,24,20,
,55,436,8,23980,23925,55,20,4,
,56,428,8,23968,23912,56,32,-12,
,57,421,7,23997,23940,57,3,29,
,58,413,8,23954,23896,58,46,-43,
,59,406,7,23954,23895,59,46,0,
,60,400,6,24000,23940,60,0,46,
,61,393,7,23973,23912,61,27,-27,
,62,387,6,23994,23932,62,6,21,
,63,380,7,23940,23877,63,60,-54,
,64,375,5,24000,23936,64,0,60,
,65,369,6,23985,23920,65,15,-15,
,66,363,6,23958,23892,66,42,-27,
,67,358,5,23986,23919,67,14,28,
,68,352,6,23936,23868,68,64,-50,
,69,347,5,23943,23874,69,57,7,
,70,342,5,23940,23870,70,60,-3,
,71,338,4,23998,23927,71,2,58,
,72,333,5,23976,23904,72,24,-22,
,73,328,5,23944,23871,73,56,-32,
,74,324,4,23976,23902,74,24,32,
,75,320,4,24000,23925,75,0,24,
,76,315,5,23940,23864,76,60,-60,
,77,311,4,23947,23870,77,53,7,
,78,307,4,23946,23868,78,54,-1,
,79,303,4,23937,23858,79,63,-9,
,80,300,3,24000,23920,80,0,63,
,81,296,4,23976,23895,81,24,-24,
,82,292,4,23944,23862,82,56,-32,
,83,289,3,23987,23904,83,13,43,
,84,285,4,23940,23856,84,60,-47,
,85,282,3,23970,23885,85,30,30,
,86,279,3,23994,23908,86,6,24,
,87,275,4,23925,23838,87,75,-69,
,88,272,3,23936,23848,88,64,11,
,89,269,3,23941,23852,89,59,5,
,90,266,3,23939,23849,90,61,-2,
,91,263,3,23933,23842,91,67,-6,
,92,260,3,23920,23828,92,80,-13,
,93,258,2,23994,23901,93,6,74,
,94,255,3,23970,23876,94,30,-24,
,95,252,3,23940,23845,95,60,-30,
,96,250,2,24000,23904,96,0,60,
,97,247,3,23959,23862,97,41,-41,
,98,244,3,23912,23814,98,88,-47,
,99,242,2,23958,23859,99,42,46,
,100,240,2,24000,23900,100,0,42,
